Symbol;Trade Date;Purchase Price;Quantity;Transaction Type
VOO;20260615;695.22;0.100688;BUY
VOO;20260420;651.37;0.3;SELL
VOO;20260410;624.32;0.088096;BUY
VOO;20260406;605.7;0.165098;BUY
VOO;20260312;617.26;0.072903;BUY
ILF;20260506;36.76;0.647222;BUY
ILF;20260505;36.46;0.960009;BUY
ILF;20260413;38.08;0.889408;BUY
ILF;20260413;37.62;1.329151;BUY
ILF;20260410;37.8;0.290227;BUY
NET;20260609;239.63;0.070944;SELL
NET;20260605;251.72;0.054387;BUY
NET;20260505;242.84;0.12354;BUY
NET;20260422;207.59;0.167924;BUY
NET;20260420;201.41;0.05536;BUY
TSLA;20260615;411.4;0.048614;BUY
TSLA;20260505;391.42;0.081856;BUY
TSLA;20260422;388.99;0.077124;BUY
ASML;20260615;1908.95;0.011404;BUY
ASML;20260609;1806.7;0.009409;BUY
ASML;20260605;1644.37;0.021029;BUY
BND;20260605;72.89;0.754582;BUY
SOXX;20260605;539.77;0.049623;BUY
SOXX;20260605;558.21;0.036068;BUY
SHOP;20260605;109.42;0.365571;BUY
